step 3250 | loss 2.2127 | step time 11.59ms
step 3260 | loss 2.0770 | step time 12.17ms
step 3270 | loss 2.1144 | step time 11.57ms
step 3280 | loss 2.0967 | step time 12.32ms
step 3290 | loss 2.0877 | step time 14.38ms
step 3300 | loss 2.2219 | step time 59.31ms
step 3310 | loss 2.1451 | step time 12.36ms
step 3320 | loss 2.1688 | step time 11.06ms
step 3330 | loss 2.1259 | step time 11.40ms
step 3340 | loss 2.0501 | step time 11.38ms
step 3350 | loss 2.2155 | step time 11.50ms
step 3360 | loss 2.0745 | step time 11.82ms
step 3370 | loss 1.9875 | step time 11.38ms
step 3380 | loss 2.0838 | step time 11.25ms
step 3390 | loss 2.2044 | step time 11.48ms
step 3400 | loss 2.2579 | step time 11.39ms
step 3410 | loss 2.1220 | step time 12.92ms
step 3420 | loss 1.9952 | step time 11.56ms
step 3430 | loss 2.1835 | step time 11.30ms
step 3440 | loss 2.0242 | step time 12.73ms
step 3450 | loss 2.1531 | step time 12.22ms
step 3460 | loss 2.0821 | step time 12.61ms
step 3470 | loss 2.1514 | step time 12.05ms
step 3480 | loss 2.1333 | step time 11.85ms
step 3490 | loss 2.0701 | step time 11.64ms
step 3500 | loss 2.1083 | step time 12.16ms
step 3500 train loss: 2.1496927738189697 test loss: 2.1314194202423096
test loss 2.1314194202423096 is the best so far, saving model to Transformer/model.pt
step 3510 | loss 2.1280 | step time 11.58ms
step 3520 | loss 2.2084 | step time 12.14ms
step 3530 | loss 2.1208 | step time 12.53ms
step 3540 | loss 2.1292 | step time 13.17ms
step 3550 | loss 2.2105 | step time 12.91ms
step 3560 | loss 2.3359 | step time 12.85ms
step 3570 | loss 2.0645 | step time 12.71ms
step 3580 | loss 2.1778 | step time 12.40ms
step 3590 | loss 2.1767 | step time 12.15ms
step 3600 | loss 2.2338 | step time 12.19ms
step 3610 | loss 2.1117 | step time 13.20ms
step 3620 | loss 2.1921 | step time 11.15ms
step 3630 | loss 2.2425 | step time 11.35ms
step 3640 | loss 2.1771 | step time 11.48ms
step 3650 | loss 2.2403 | step time 12.34ms
step 3660 | loss 2.1328 | step time 11.33ms
step 3670 | loss 2.2169 | step time 11.70ms
step 3680 | loss 2.1047 | step time 11.36ms
step 3690 | loss 2.0501 | step time 11.25ms
step 3700 | loss 2.2081 | step time 11.80ms
step 3710 | loss 2.0863 | step time 12.40ms
step 3720 | loss 2.0175 | step time 12.56ms
step 3730 | loss 2.1055 | step time 12.43ms
step 3740 | loss 2.0370 | step time 11.69ms
step 3750 | loss 2.1946 | step time 12.07ms
step 3760 | loss 2.1525 | step time 12.60ms
step 3770 | loss 2.1199 | step time 11.50ms
step 3780 | loss 2.1940 | step time 11.45ms
step 3790 | loss 2.2556 | step time 12.32ms
step 3800 | loss 2.1220 | step time 11.80ms
step 3810 | loss 2.1436 | step time 12.29ms
step 3820 | loss 2.1571 | step time 12.05ms
step 3830 | loss 2.0438 | step time 12.04ms
step 3840 | loss 2.2587 | step time 12.43ms
step 3850 | loss 2.1393 | step time 12.15ms
step 3860 | loss 2.1519 | step time 11.50ms
step 3870 | loss 2.0179 | step time 11.95ms
step 3880 | loss 2.0556 | step time 12.31ms
step 3890 | loss 2.2011 | step time 11.89ms
step 3900 | loss 2.1529 | step time 12.16ms
step 3910 | loss 2.0274 | step time 12.39ms
step 3920 | loss 2.2516 | step time 12.28ms
step 3930 | loss 2.0767 | step time 12.22ms
step 3940 | loss 2.0793 | step time 12.53ms
step 3950 | loss 2.1384 | step time 12.19ms
step 3960 | loss 2.0777 | step time 11.72ms
step 3970 | loss 2.0254 | step time 11.40ms
step 3980 | loss 2.1060 | step time 11.45ms
step 3990 | loss 2.1911 | step time 11.28ms
step 4000 | loss 2.1081 | step time 11.12ms
step 4000 train loss: 2.109518051147461 test loss: 2.1199631690979004
test loss 2.1199631690979004 is the best so far, saving model to Transformer/model.pt
step 4010 | loss 2.0820 | step time 11.38ms
step 4020 | loss 2.1182 | step time 11.45ms
step 4030 | loss 2.1413 | step time 11.24ms
step 4040 | loss 2.1316 | step time 10.92ms
step 4050 | loss 2.1008 | step time 10.85ms
step 4060 | loss 2.0801 | step time 11.47ms
step 4070 | loss 2.1540 | step time 11.41ms
step 4080 | loss 2.1811 | step time 11.31ms
step 4090 | loss 2.0408 | step time 11.37ms
step 4100 | loss 2.2009 | step time 11.52ms
step 4110 | loss 2.2057 | step time 11.37ms
step 4120 | loss 2.0391 | step time 11.39ms
step 4130 | loss 2.0080 | step time 11.44ms
step 4140 | loss 2.1573 | step time 11.20ms
step 4150 | loss 2.2020 | step time 11.33ms
step 4160 | loss 2.1320 | step time 11.32ms
step 4170 | loss 2.1467 | step time 11.35ms
step 4180 | loss 2.1746 | step time 11.54ms
step 4190 | loss 2.1187 | step time 11.22ms
step 4200 | loss 2.0909 | step time 11.24ms
step 4210 | loss 2.2323 | step time 11.47ms
step 4220 | loss 2.0424 | step time 10.95ms
step 4230 | loss 2.1559 | step time 11.41ms
step 4240 | loss 2.1394 | step time 11.35ms
step 4250 | loss 2.0997 | step time 11.19ms
step 4260 | loss 2.0656 | step time 10.96ms
step 4270 | loss 2.0122 | step time 12.79ms
step 4280 | loss 2.1054 | step time 12.31ms
step 4290 | loss 1.9615 | step time 10.84ms
step 4300 | loss 2.0036 | step time 11.17ms
step 4310 | loss 2.1575 | step time 10.92ms
step 4320 | loss 2.1147 | step time 11.05ms
step 4330 | loss 2.2319 | step time 12.07ms
step 4340 | loss 2.0196 | step time 11.38ms
step 4350 | loss 2.0752 | step time 11.57ms
step 4360 | loss 2.1420 | step time 11.68ms
step 4370 | loss 2.1829 | step time 12.53ms
step 4380 | loss 2.1351 | step time 12.44ms
step 4390 | loss 1.9781 | step time 12.39ms
step 4400 | loss 2.1307 | step time 12.28ms
step 4410 | loss 2.0381 | step time 12.18ms
step 4420 | loss 1.9640 | step time 11.47ms
step 4430 | loss 2.0799 | step time 11.27ms
step 4440 | loss 2.0794 | step time 12.31ms
step 4450 | loss 2.1013 | step time 12.30ms
step 4460 | loss 2.2186 | step time 11.44ms
step 4470 | loss 2.1231 | step time 11.42ms
step 4480 | loss 2.2209 | step time 12.48ms
step 4490 | loss 2.1387 | step time 12.26ms
step 4500 | loss 2.2226 | step time 12.28ms
step 4500 train loss: 2.109543800354004 test loss: 2.1066417694091797
test loss 2.1066417694091797 is the best so far, saving model to Transformer/model.pt
step 4510 | loss 1.9724 | step time 12.36ms
step 4520 | loss 2.0508 | step time 12.21ms
step 4530 | loss 2.0793 | step time 12.13ms
step 4540 | loss 2.0857 | step time 12.42ms
step 4550 | loss 2.1183 | step time 11.67ms
step 4560 | loss 2.1212 | step time 11.88ms
step 4570 | loss 2.2434 | step time 12.24ms
step 4580 | loss 2.2370 | step time 12.37ms
step 4590 | loss 2.0341 | step time 11.73ms
step 4600 | loss 2.0922 | step time 11.42ms
step 4610 | loss 2.1512 | step time 12.24ms
step 4620 | loss 2.1046 | step time 12.03ms
step 4630 | loss 2.1079 | step time 12.19ms
step 4640 | loss 2.0491 | step time 11.63ms
step 4650 | loss 2.0780 | step time 11.17ms
step 4660 | loss 2.1280 | step time 11.44ms
step 4670 | loss 2.1187 | step time 11.37ms
step 4680 | loss 2.0786 | step time 11.25ms
step 4690 | loss 2.0805 | step time 12.21ms
step 4700 | loss 2.1928 | step time 12.05ms
step 4710 | loss 2.2038 | step time 11.75ms
step 4720 | loss 2.0910 | step time 11.36ms
step 4730 | loss 2.0837 | step time 11.31ms
step 4740 | loss 2.0591 | step time 12.20ms
step 4750 | loss 2.1520 | step time 12.40ms
step 4760 | loss 2.1051 | step time 12.10ms
step 4770 | loss 2.1438 | step time 11.91ms
step 4780 | loss 2.1544 | step time 11.61ms
step 4790 | loss 2.1843 | step time 12.76ms
step 4800 | loss 2.0402 | step time 12.49ms
step 4810 | loss 2.0265 | step time 11.65ms
step 4820 | loss 2.0258 | step time 11.68ms
step 4830 | loss 2.1785 | step time 11.35ms
step 4840 | loss 2.1224 | step time 12.20ms
step 4850 | loss 2.0198 | step time 11.54ms
step 4860 | loss 2.1329 | step time 11.42ms
step 4870 | loss 2.1842 | step time 11.27ms
step 4880 | loss 2.0811 | step time 11.64ms
step 4890 | loss 2.0074 | step time 11.36ms
step 4900 | loss 2.1991 | step time 12.00ms
step 4910 | loss 2.0091 | step time 12.11ms
step 4920 | loss 1.9562 | step time 11.77ms
step 4930 | loss 2.1842 | step time 13.12ms
step 4940 | loss 2.1007 | step time 12.34ms
